,N,iter_lev,Voronoi,Distances,Drawing,Saving figure,dpi
0,20000,2,3.3071811199188232,0.292926549911499,10.88825535774231,2.8045103549957275,300
1,20000,2,3.524975538253784,0.5330624580383301,13.324020862579346,3.587024450302124,300
2,20000,2,3.928936004638672,0.28766322135925293,10.78701114654541,2.9279963970184326,300
3,20000,2,3.204007863998413,0.2865588665008545,10.895553588867188,2.856018543243408,300
4,20000,2,3.621840715408325,0.30898118019104004,30.798872232437134,3.4560940265655518,300
5,20000,2,7.591240882873535,0.2969534397125244,12.388479948043823,2.978868246078491,300
6,20000,2,3.285792350769043,0.29477667808532715,11.669458627700806,4.1654298305511475,300
7,20000,2,3.7196953296661377,0.30912089347839355,11.51972246170044,2.944655656814575,300
8,20000,2,3.3805582523345947,0.3042256832122803,11.329958200454712,3.064969062805176,300
9,20000,2,3.361727714538574,0.3202657699584961,11.451738595962524,2.9946961402893066,300
10,21000,2,3.6070737838745117,0.30666184425354004,14.033738613128662,3.2190937995910645,300
11,21000,2,3.653954267501831,0.3100762367248535,14.777386903762817,3.5019564628601074,300
12,21000,2,4.036405324935913,0.3142054080963135,13.718920230865479,3.1187448501586914,300
13,21000,2,4.569975137710571,0.34889960289001465,17.422500610351562,6.408304214477539,300
14,21000,2,8.711922645568848,0.4779820442199707,18.121870756149292,5.592641830444336,300
15,21000,2,6.637344837188721,0.4839165210723877,17.921058654785156,4.690049171447754,300
16,21000,2,4.752016067504883,0.3484494686126709,12.079333066940308,2.808560609817505,300
17,21000,2,3.8929059505462646,0.3907175064086914,11.995954036712646,2.944352149963379,300
18,21000,2,3.920224905014038,0.30933618545532227,11.9058518409729,3.0773701667785645,300
19,21000,2,3.8001301288604736,0.35585784912109375,11.910772562026978,3.5609586238861084,300
20,22000,2,4.31311821937561,0.340900182723999,13.229024648666382,4.387193918228149,300
21,22000,2,5.222594499588013,0.42424798011779785,13.991004467010498,4.39081072807312,300
22,22000,2,4.57138204574585,0.3900182247161865,15.75714921951294,3.0016274452209473,300
23,22000,2,4.040273904800415,0.3600585460662842,12.365279197692871,3.0200071334838867,300
24,22000,2,3.9405577182769775,0.3515036106109619,12.233545064926147,2.968212127685547,300
25,22000,2,3.7897984981536865,0.5850777626037598,11.845425367355347,2.8058807849884033,300
26,22000,2,3.7827723026275635,0.3617122173309326,13.227081060409546,3.00628662109375,300
27,22000,2,3.9916090965270996,0.36170434951782227,12.605004787445068,3.0157482624053955,300
28,22000,2,4.043835163116455,0.4468693733215332,14.15255093574524,3.204533338546753,300
29,22000,2,4.193633794784546,0.358262300491333,12.698664665222168,3.165907144546509,300
30,23000,2,4.777619361877441,0.5054821968078613,14.342597007751465,2.949112892150879,300
31,23000,2,3.917485475540161,0.35647058486938477,13.337794780731201,3.0149571895599365,300
32,23000,2,3.934403657913208,0.5951423645019531,14.600462913513184,3.840061902999878,300
33,23000,2,4.0107502937316895,0.3753774166107178,14.130181312561035,3.344487428665161,300
34,23000,2,3.67177677154541,0.39634180068969727,11.876662969589233,2.8021438121795654,300
35,23000,2,3.770509958267212,0.35967302322387695,12.097743034362793,2.795142650604248,300
36,23000,2,3.5442159175872803,0.33762669563293457,11.842888832092285,2.8174924850463867,300
37,23000,2,3.6711087226867676,0.3424654006958008,11.818124771118164,2.801713705062866,300
38,23000,2,3.6925389766693115,0.34556055068969727,11.571170330047607,2.9493789672851562,300
39,23000,2,3.5572445392608643,0.3411092758178711,11.552695512771606,2.7888684272766113,300
40,24000,2,4.888862133026123,0.539452314376831,12.104058027267456,2.7597498893737793,300
41,24000,2,3.7187609672546387,0.34299278259277344,12.100557327270508,2.8071329593658447,300
42,24000,2,4.010723829269409,0.34159207344055176,12.73427152633667,3.096602439880371,300
43,24000,2,4.486919403076172,0.3740699291229248,12.940582036972046,3.017491579055786,300
44,24000,2,4.680750608444214,0.6768639087677002,16.345953464508057,3.0191287994384766,300
45,24000,2,4.014374494552612,0.3668196201324463,13.488885164260864,3.5118215084075928,300
46,24000,2,4.494296073913574,0.5004696846008301,14.006375074386597,3.0144596099853516,300
47,24000,2,4.166499376296997,0.3630237579345703,13.579950094223022,3.168062686920166,300
48,24000,2,4.3626861572265625,0.3786194324493408,13.511905908584595,3.070087194442749,300
49,24000,2,3.9593026638031006,0.39947962760925293,13.410544395446777,3.4119927883148193,300
